OBJECTID,Elevation,Slope,Aspect,坡高,斜坡形态,地形表面纹理,TRI,地形位置指数,地形表面凸率,地形汇聚指数,相对坡位,平面曲率,剖面曲率,Curvature,River,流域面积,流路长度,地形湿度指数,河谷深度,流域坡度,河流强度指数 ,距河网垂直距离,Lithology,斜坡结构,NDVI,NDWI,Rainfall,Earthquake,NDBI,class
126,240.032258,11.26657,103.059576,21.20925,3.577419,0.623547,4.217913,-0.445772,0.386273,-1.453017,0.469451,0.004083,0.024395,-0.020312,2837.037221,8742.915256,617.309917,11.658719,30.942212,0.205663,7963.49804,86.113401,2,7,0.712351,0.286969,1145.605713,2.029394,-0.28804,0
120,420.69697,9.736557,253.079916,33.601522,4.515152,0.719147,3.636441,1.531532,0.495459,1.131536,0.55718,0.094119,-0.104026,0.198146,880.594751,3452.546727,270.197741,11.645115,8.638616,0.137037,-1349.454227,-25.113087,2,6,0.624816,0.211188,1143.925781,1.924922,-0.233956,0
131,320.141667,7.877784,239.446538,13.887929,4.25,0.721197,2.979967,-0.019175,0.424062,0.71231,0.276901,-0.000532,-0.030468,0.031954,1836.714955,6796.880032,339.83325,11.530455,12.640121,0.115149,16007.30503,14.296718,2,7,0.665319,0.308105,1144.963257,1.968941,-0.30627,0
115,384.5,6.858312,250.450588,21.58447,4.25,0.731861,2.541954,-0.006757,0.442692,3.340449,0.390146,-0.027136,0.154498,-0.181633,1128.897261,4192.529836,623.872838,11.794454,9.744582,0.129829,421.799857,2.606303,2,7,0.653178,0.232335,1143.986938,1.926108,-0.203078,0
145,319.331579,14.975215,212.029665,32.495243,4.038596,0.587564,5.667998,0.061119,0.464005,0.063517,0.502312,0.021641,0.013568,0.008073,868.836491,10251.28104,524.450358,11.333603,29.044668,0.2436,46500.77923,87.874241,2,7,0.710415,0.266955,1143.374512,1.965279,-0.269378,0
130,219.036585,6.848789,199.365206,8.614645,3.914634,0.596407,2.549125,-0.326556,0.332154,0.444004,0.571939,0.022421,-0.004159,0.02658,2683.700759,10123.72916,269.021441,12.46873,35.322102,0.139682,3385.016595,101.79106,2,7,0.601464,0.250725,1145.333252,1.962113,-0.249898,0
124,423.755556,8.640241,263.773954,44.159722,5.044444,0.678654,3.231432,1.348949,0.534805,9.731178,0.597282,0.055169,-0.071302,0.126471,809.657485,2340.009547,154.020577,11.389527,6.937388,0.134002,-9679.767751,-67.016859,2,5,0.655976,0.25789,1144.400269,1.93221,-0.244005,0
141,360.873684,21.541654,69.35506,87.220964,4.010526,0.503603,8.310635,0.483642,0.484675,0.6519,0.502591,-0.011221,-0.077501,0.06628,554.874291,8066.534516,344.105408,12.868445,48.410622,0.287861,-2751.004953,-43.852924,2,7,0.731022,0.29455,1144.600464,1.948143,-0.298551,0
155,300.090367,13.442198,224.642077,22.908969,3.966236,0.636497,5.085549,0.088783,0.466407,0.043885,0.476919,0.015726,0.024384,-0.009139,1076.131567,9262.192338,285.576441,11.615664,24.04391,0.218502,27329.78945,87.951453,2,7,0.680811,0.252519,1144.326904,1.949302,-0.250588,0
150,194.656051,11.204471,245.707612,22.484233,4.044586,0.673994,4.199413,0.033741,0.481334,-0.216273,0.442933,-0.022376,0.010402,-0.032779,330.132875,7729.136158,341.867123,11.765298,22.349599,0.194701,2436.007097,112.460301,2,7,0.542454,0.279221,1144.576904,1.901914,-0.271815,0
